type,latitude,longitude,alt
T,48.1949716667,-3.017585,166.6
T,48.1949716667,-3.01758666667,166.6
T,48.19497,-3.01758666667,166.6
T,48.1949683333,-3.01758833333,166.6
T,48.1949683333,-3.01758833333,166.6
T,48.1949666667,-3.01758833333,166.4
T,48.1949633333,-3.01759,166.4
T,48.1949616667,-3.01759166667,166.5
T,48.1949583333,-3.01759166667,166.4
T,48.194955,-3.01759,166.4
T,48.1949533333,-3.01759,166.6
T,48.19495,-3.01759,166.9
T,48.194945,-3.01758833333,167.0
T,48.19494,-3.01758666667,166.9
T,48.1949366667,-3.01758333333,167.2
T,48.194935,-3.01758166667,167.8
T,48.1949333333,-3.01758166667,167.6
T,48.1949316667,-3.01758166667,167.5
T,48.1949283333,-3.01758333333,167.3
T,48.1949266667,-3.01758333333,167.2
T,48.1949233333,-3.01758333333,167.1
T,48.1949183333,-3.01758333333,167.0
T,48.1949133333,-3.01758166667,167.0
T,48.1949066667,-3.01758166667,166.9
T,48.1949,-3.01758,166.9
T,48.194895,-3.01757833333,166.9
T,48.1948883333,-3.01757833333,166.9
T,48.1948816667,-3.01757833333,166.8
T,48.194875,-3.01758,166.8
T,48.19487,-3.01758333333,166.8
T,48.194865,-3.01758833333,166.7
T,48.1948583333,-3.01759166667,166.6
T,48.1948533333,-3.01759666667,166.5
T,48.19485,-3.01760166667,167.2
T,48.1948466667,-3.01760833333,167.7
T,48.1948416667,-3.017615,168.1
T,48.1948383333,-3.01762333333,168.4
T,48.1948333333,-3.01763333333,168.7
T,48.1948316667,-3.017645,168.7
T,48.19483,-3.01765666667,168.9
T,48.19483,-3.01766666667,169.1
T,48.1948333333,-3.01767666667,168.8
T,48.1948366667,-3.01768833333,168.6
T,48.19484,-3.0177,168.6
T,48.194845,-3.017715,169.0
T,48.19485,-3.017725,169.3
T,48.1948566667,-3.01773333333,169.6
T,48.1948633333,-3.01774166667,170.5
T,48.1948666667,-3.01774833333,170.3
T,48.1948733333,-3.017755,170.1
T,48.1948783333,-3.01776,170.2
T,48.194885,-3.01776333333,170.8
T,48.1948916667,-3.01776833333,171.3
T,48.1948983333,-3.01777166667,171.5
T,48.1949066667,-3.01777666667,172.0
T,48.1949133333,-3.01777833333,172.1
T,48.19492,-3.01778,172.1
T,48.1949283333,-3.017785,172.2
T,48.19494,-3.017795,172.9
T,48.1949483333,-3.01780666667,173.1
T,48.1949583333,-3.01781666667,173.0
T,48.1949683333,-3.01782833333,173.9
T,48.1949783333,-3.01784,174.0
T,48.1949883333,-3.01785333333,174.8
T,48.1949983333,-3.01786666667,175.8
T,48.1950066667,-3.01787666667,175.9
T,48.1950166667,-3.01788833333,176.1
T,48.1950233333,-3.01790166667,175.8
T,48.19503,-3.01791333333,176.1
T,48.1950383333,-3.01792333333,176.2
T,48.1950466667,-3.01793333333,176.7
T,48.1950566667,-3.01794333333,176.9
T,48.19506,-3.01794833333,176.3
T,48.1950666667,-3.01795333333,176.7
T,48.1950716667,-3.01795833333,176.2
T,48.1950733333,-3.01796333333,175.8
T,48.1950783333,-3.01797166667,175.8
T,48.195085,-3.01798333333,176.0
T,48.19509,-3.01799666667,176.2
T,48.195095,-3.01801,176.1
T,48.1951016667,-3.01802833333,176.4
T,48.1951066667,-3.01804333333,176.7
T,48.19511,-3.01805666667,177.3
T,48.19511,-3.01806333333,177.5
T,48.1951066667,-3.01806,177.0
T,48.1951066667,-3.01805833333,176.6
T,48.195105,-3.01805666667,176.4
T,48.195105,-3.01805666667,176.6
T,48.1951033333,-3.01805333333,176.5
T,48.1951016667,-3.01805,176.4
T,48.1951,-3.01804666667,175.9
T,48.1951,-3.01804166667,175.5
T,48.1950966667,-3.01803666667,175.2
T,48.1950933333,-3.01803166667,174.8
T,48.19509,-3.01803333333,173.9
T,48.1950833333,-3.01804166667,173.3
T,48.1950783333,-3.018045,172.8
T,48.1950783333,-3.01805166667,172.3
T,48.19508,-3.01806,171.6
T,48.1950833333,-3.01806666667,171.3
T,48.1950866667,-3.01807166667,171.0
T,48.1950883333,-3.018075,170.6
T,48.19509,-3.01807833333,170.2
T,48.1950883333,-3.01808166667,170.1
T,48.1950883333,-3.018085,169.8
T,48.1950883333,-3.018085,169.6
T,48.1950866667,-3.01808666667,169.4
T,48.1950866667,-3.01808666667,169.2
T,48.1950866667,-3.01808666667,169.0
T,48.1950866667,-3.01808666667,168.9
T,48.1950866667,-3.01808666667,168.8
T,48.1950866667,-3.01808666667,168.7
T,48.1950866667,-3.01808666667,168.6
T,48.1950866667,-3.01808833333,168.2
T,48.1950883333,-3.01808666667,167.8
T,48.1950916667,-3.01809166667,166.6
T,48.1950933333,-3.01809166667,165.7
T,48.1950966667,-3.01808833333,165.1
T,48.1950966667,-3.018085,165.1
T,48.195095,-3.01808333333,164.6
T,48.1950933333,-3.01807666667,164.7
T,48.1950966667,-3.01807,165.3
T,48.1950983333,-3.01805833333,166.8
T,48.1951016667,-3.01805,167.5
T,48.195105,-3.01804666667,167.9
T,48.1951116667,-3.018045,168.2
T,48.1951166667,-3.01804666667,168.0
T,48.1951216667,-3.01804833333,168.2
T,48.195125,-3.01806333333,166.7
T,48.19513,-3.01807,166.2
T,48.195135,-3.01807666667,165.7
T,48.1951383333,-3.01807666667,166.0
T,48.1951433333,-3.01808333333,165.7
T,48.1951466667,-3.01808833333,165.4
T,48.1951516667,-3.01808666667,165.7
T,48.1951566667,-3.01808666667,165.8
T,48.1951616667,-3.01808333333,166.4
T,48.1951666667,-3.018085,166.6
T,48.19517,-3.01808666667,166.7
T,48.1951733333,-3.01809,166.8
T,48.1951783333,-3.018095,166.7
T,48.1951816667,-3.0181,166.7
T,48.1951866667,-3.01810166667,167.0
T,48.19519,-3.018105,167.1
T,48.1951933333,-3.01811,167.1
T,48.1951966667,-3.01811833333,166.9
T,48.1952016667,-3.018125,166.8
T,48.195205,-3.01813166667,166.7
T,48.19521,-3.01813833333,166.5
T,48.195215,-3.018145,166.6
T,48.19522,-3.01815166667,166.4
T,48.1952233333,-3.01815833333,166.3
T,48.1952283333,-3.01816333333,166.2
T,48.1952316667,-3.01816833333,166.2
T,48.1952366667,-3.01817166667,166.3
T,48.1952416667,-3.01817,166.7
T,48.1952466667,-3.018175,166.8
T,48.1952516667,-3.01818333333,166.8
T,48.1952566667,-3.01819333333,166.6
T,48.1952616667,-3.01820333333,166.5
T,48.1952666667,-3.01821166667,166.5
T,48.1952716667,-3.01821833333,166.8
T,48.1952766667,-3.018225,167.0
T,48.1952816667,-3.01823666667,166.7
T,48.1952866667,-3.01824666667,166.6
T,48.1952933333,-3.01825666667,166.4
T,48.1953,-3.01827,166.3
T,48.1953066667,-3.01828166667,166.2
T,48.1953116667,-3.01829333333,165.9
T,48.195315,-3.018305,165.8
T,48.1953183333,-3.01831333333,165.5
T,48.195325,-3.01832,165.6
T,48.1953316667,-3.01832833333,165.4
T,48.19534,-3.018335,165.6
T,48.1953483333,-3.01834333333,166.0
T,48.1953566667,-3.01835,166.3
T,48.1953633333,-3.01835833333,166.3
T,48.1953683333,-3.01836666667,165.8
T,48.1953766667,-3.01837333333,165.8
T,48.1953833333,-3.01837833333,165.8
T,48.1953833333,-3.018385,164.8
T,48.1953866667,-3.018385,165.0
T,48.1953883333,-3.018385,164.9
T,48.1953883333,-3.01838333333,164.7
T,48.1953866667,-3.01838166667,164.5
T,48.1953816667,-3.01837833333,164.3
T,48.1953783333,-3.01837,164.7
T,48.1953733333,-3.01836166667,165.6
T,48.1953683333,-3.01835833333,165.9
T,48.1953683333,-3.01835666667,166.3
T,48.1953683333,-3.01835333333,166.8
T,48.1953683333,-3.01835333333,166.3
T,48.1953683333,-3.01835,166.3
T,48.1953666667,-3.018345,166.5
T,48.195365,-3.01834,166.6
T,48.1953633333,-3.01833833333,166.6
T,48.1953633333,-3.018335,166.7
T,48.1953616667,-3.01833,167.0
T,48.19536,-3.01832833333,166.7
T,48.19536,-3.01832666667,166.4
T,48.1953616667,-3.01833,165.6
T,48.1953616667,-3.018335,164.8
T,48.1953633333,-3.01833666667,164.7
T,48.195365,-3.01835166667,162.7
T,48.1953666667,-3.01836,161.6
T,48.1953683333,-3.018365,160.8
T,48.19537,-3.01835333333,162.0
T,48.1953683333,-3.01834166667,163.3
T,48.1953683333,-3.01832833333,164.4
T,48.195365,-3.01832166667,164.5
T,48.19536,-3.01831833333,164.7
T,48.1953533333,-3.018315,164.7
T,48.1953483333,-3.018315,164.8
T,48.195345,-3.01830833333,165.3
T,48.1953416667,-3.01830333333,165.5
T,48.19534,-3.01829833333,165.4
T,48.1953383333,-3.01829833333,164.8
T,48.195335,-3.01829333333,164.7
T,48.19533,-3.01828666667,164.9
T,48.195325,-3.01828333333,165.0
T,48.1953216667,-3.01827666667,165.4
T,48.1953183333,-3.01827333333,165.6
T,48.195315,-3.01826833333,165.3
T,48.1953116667,-3.01826,165.5
T,48.1953083333,-3.01825333333,165.6
T,48.1953016667,-3.01825,165.5
T,48.1952966667,-3.01825,165.5
T,48.1952916667,-3.01825,165.4
T,48.1952866667,-3.01825333333,165.2
T,48.1952816667,-3.018255,165.1
T,48.19528,-3.01825166667,165.6
T,48.195275,-3.01825333333,165.2
T,48.1952733333,-3.01824833333,165.3
T,48.19527,-3.01824666667,165.2
T,48.1952683333,-3.01824166667,165.0
T,48.195265,-3.01823666667,164.9
T,48.1952633333,-3.01823333333,164.8
T,48.19526,-3.01823166667,164.7
T,48.1952583333,-3.01823333333,164.4
T,48.195255,-3.018235,164.2
T,48.1952533333,-3.01823833333,163.9
T,48.1952516667,-3.01823666667,164.0
T,48.19525,-3.018235,164.1
T,48.1952466667,-3.01823333333,164.1
T,48.19524,-3.01823166667,164.0
T,48.1952333333,-3.01822833333,164.3
T,48.1952266667,-3.01822666667,164.5
T,48.195225,-3.018225,164.7
T,48.1952233333,-3.01822333333,164.9
T,48.1952233333,-3.01822166667,165.0
T,48.195225,-3.01822166667,164.7
T,48.1952266667,-3.018215,164.4
T,48.19523,-3.01820666667,163.8
T,48.195235,-3.01820333333,163.2
T,48.1952416667,-3.0182,163.2
T,48.19525,-3.0182,163.0
T,48.1952583333,-3.01820333333,162.4
T,48.1952633333,-3.018205,162.2
T,48.1952683333,-3.01820166667,162.6
T,48.1952683333,-3.01819666667,163.1
T,48.1952666667,-3.018195,163.4
T,48.1952633333,-3.0182,163.1
T,48.1952583333,-3.0182,162.8
T,48.1952533333,-3.01819666667,163.1
T,48.1952483333,-3.01819,163.7
T,48.1952416667,-3.018185,164.2
T,48.1952366667,-3.01818166667,164.5
T,48.19523,-3.01817833333,164.6
