type,latitude,longitude,alt
T,48.198845,-3.01474,169.4
T,48.198845,-3.01474,169.5
T,48.1988483333,-3.01474,169.8
T,48.1988516667,-3.01473833333,170.0
T,48.1988533333,-3.01473833333,170.2
T,48.198855,-3.01473666667,170.5
T,48.1988583333,-3.01473666667,171.0
T,48.1988583333,-3.014735,171.2
T,48.198855,-3.014735,171.0
T,48.1988533333,-3.014735,171.0
T,48.1988483333,-3.014735,170.6
T,48.1988466667,-3.01473333333,170.2
T,48.1988433333,-3.01473333333,169.9
T,48.1988416667,-3.01473166667,169.7
T,48.19884,-3.01473166667,169.6
T,48.1988383333,-3.014735,169.5
T,48.19884,-3.01474,169.3
T,48.19884,-3.01474666667,169.2
T,48.1988416667,-3.01475333333,169.1
T,48.1988433333,-3.01475666667,169.2
T,48.1988433333,-3.01476,169.2
T,48.198845,-3.01476333333,169.0
T,48.1988466667,-3.01476833333,169.1
T,48.1988483333,-3.01477333333,169.1
T,48.1988483333,-3.01477666667,169.1
T,48.19885,-3.01477833333,169.1
T,48.1988483333,-3.01477833333,169.4
T,48.1988483333,-3.01477833333,169.3
T,48.1988483333,-3.01477666667,169.1
T,48.1988483333,-3.014775,169.0
T,48.1988483333,-3.01477333333,168.8
T,48.1988483333,-3.01477333333,168.7
T,48.1988466667,-3.01477333333,168.6
T,48.1988466667,-3.01477,168.5
T,48.1988466667,-3.01476833333,168.4
T,48.198845,-3.01476833333,168.4
T,48.1988466667,-3.01477,168.2
T,48.1988483333,-3.01477333333,168.0
T,48.1988516667,-3.01477833333,168.0
T,48.1988533333,-3.01478166667,168.1
T,48.198855,-3.01478666667,168.2
T,48.1988566667,-3.01479,168.0
T,48.19886,-3.01479666667,167.9
T,48.1988633333,-3.01480666667,167.9
T,48.1988666667,-3.01481833333,168.1
T,48.19887,-3.01483,168.1
T,48.1988733333,-3.01484666667,168.2
T,48.1988733333,-3.01486333333,168.0
T,48.19887,-3.01488,167.9
T,48.1988683333,-3.01489666667,167.7
T,48.1988666667,-3.01490833333,167.6
T,48.1988683333,-3.01492,167.3
T,48.1988716667,-3.014935,167.2
T,48.198875,-3.01495,167.0
T,48.1988766667,-3.01496666667,167.1
T,48.198875,-3.014985,166.8
T,48.198875,-3.01499833333,166.9
T,48.1988766667,-3.01501166667,167.0
T,48.19888,-3.01502333333,167.1
T,48.198885,-3.015035,167.0
T,48.1988883333,-3.01504833333,166.0
T,48.1988933333,-3.01506333333,165.7
T,48.1988966667,-3.01507833333,165.7
T,48.1988983333,-3.01509333333,165.7
T,48.1989016667,-3.01510666667,165.7
T,48.1989033333,-3.01512,165.6
T,48.1989066667,-3.015135,166.1
T,48.1989083333,-3.01515166667,166.5
T,48.1989083333,-3.01516666667,166.6
T,48.1989066667,-3.01518166667,166.6
T,48.1989083333,-3.01519333333,166.8
T,48.1989116667,-3.01520666667,166.8
T,48.1989166667,-3.01521833333,166.8
T,48.1989216667,-3.01523333333,166.9
T,48.19893,-3.01524833333,167.5
T,48.19893,-3.015265,167.5
T,48.19893,-3.01528,167.7
T,48.19893,-3.01529333333,167.8
T,48.1989316667,-3.01530666667,167.9
